"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Получение списка питомцев с конкретным статусом
Swagger: GET /pet/findByStatus Finds Pets by status
","6","Получение списка питомцев с конкретным статусом","tests.petstore-api","Thu Mar 26 15:24:47 UTC 2026","passed","Thu Mar 26 15:24:47 UTC 2026","","test_about_pet","",""
"
Обновление имеющейся записи с помощью PUT и проверка через GET
Swagger: PUT /pet Update an existing pet
","10","Обновление имеющейся записи с помощью PUT и проверка через GET","tests.petstore-api","Thu Mar 26 15:24:47 UTC 2026","passed","Thu Mar 26 15:24:47 UTC 2026","","test_about_pet","",""
"
Удаление питомца из API.НЕГАТИВНЫЙ ТЕСТ, id  не существует
Swagger: DELETE /pet/{pet_id} Find pet by ID
","5","Удаление питомца из API. НЕГАТИВНЫЙ ТЕСТ, id  не существует","tests.petstore-api","Thu Mar 26 15:24:47 UTC 2026","passed","Thu Mar 26 15:24:47 UTC 2026","","test_about_pet","",""
"Проверка POST запроса и последующего GET запроса на соответствие полей","6","Тест создания питомца со статусом: pending","tests.petstore-api","Thu Mar 26 15:24:46 UTC 2026","passed","Thu Mar 26 15:24:46 UTC 2026","","test_about_pet","",""
"
Получение питомца из API. НЕГАТИВНЫЙ ТЕСТ, id  не существует
Swagger: GET /pet/{pet_id} Find pet by ID
","4","Получение питомца из API. НЕГАТИВНЫЙ ТЕСТ, id  не существует","tests.petstore-api","Thu Mar 26 15:24:47 UTC 2026","passed","Thu Mar 26 15:24:47 UTC 2026","","test_about_pet","",""
"
Получение питомца из API
Swagger: GET /pet/{pet_id} Find pet by ID
","5","Получение питомца из API","tests.petstore-api","Thu Mar 26 15:24:47 UTC 2026","passed","Thu Mar 26 15:24:47 UTC 2026","","test_about_pet","",""
"
Обновление по id и проверка через GET
Swagger: POST /pet/{pet_id} Updates a pet in the store with form data
","10","Обновление питомца с данными формы","tests.petstore-api","Thu Mar 26 15:24:47 UTC 2026","passed","Thu Mar 26 15:24:47 UTC 2026","","test_about_pet","",""
"
Создание с id, name, photoUrls + проверка через GET
Swagger: POST /pet Add a new pet to the store
","6","Создание питомца с минимальными полями","tests.petstore-api","Thu Mar 26 15:24:46 UTC 2026","passed","Thu Mar 26 15:24:46 UTC 2026","","test_about_pet","",""
"Проверка POST запроса и последующего GET запроса на соответствие полей","6","Тест создания питомца со статусом: available","tests.petstore-api","Thu Mar 26 15:24:46 UTC 2026","passed","Thu Mar 26 15:24:46 UTC 2026","","test_about_pet","",""
"
Удаление питомца из API
Swagger: DELETE /pet/{pet_id} Find pet by ID
","9","Удаление питомца из API","tests.petstore-api","Thu Mar 26 15:24:47 UTC 2026","passed","Thu Mar 26 15:24:47 UTC 2026","","test_about_pet","",""
"Проверка POST запроса и последующего GET запроса на соответствие полей","6","Тест создания питомца со статусом: sold","tests.petstore-api","Thu Mar 26 15:24:46 UTC 2026","passed","Thu Mar 26 15:24:47 UTC 2026","","test_about_pet","",""
"
Получение списка питомцев с конкретным статусом
Swagger: GET /pet/findByStatus Finds Pets by status
","6","Получение списка питомцев с конкретным статусом","tests.petstore-api","Thu Mar 26 15:24:47 UTC 2026","passed","Thu Mar 26 15:24:47 UTC 2026","","test_about_pet","",""
"
Получение списка питомцев с конкретным статусом
Swagger: GET /pet/findByStatus Finds Pets by status
","15","Получение списка питомцев с конкретным статусом","tests.petstore-api","Thu Mar 26 15:24:47 UTC 2026","passed","Thu Mar 26 15:24:47 UTC 2026","","test_about_pet","",""
